Gene	Mycoplasma_meleagridis_210	Mycoplasma_meleagridis_24B8	Mycoplasma_meleagridis_25A3	Mycoplasma_meleagridis_25A4	Mycoplasma_meleagridis_26	Mycoplasma_meleagridis_26B8	Mycoplasma_meleagridis_26B9	Mycoplasma_meleagridis_ATCCC	Mycoplasma_meleagridis_B870
pepP_2	0	1	0	0	1	1	1	1	1
proS_1	0	1	0	0	1	1	1	1	1
proS_2	0	1	0	0	1	1	1	1	1
group_1822	0	1	0	0	1	1	1	1	1
polC_1	0	1	0	0	1	1	1	1	1
polC_2	0	1	0	0	1	1	1	1	1
polC_4	0	1	0	0	1	1	1	1	1
group_1826	0	1	0	0	1	1	1	1	1
polC_5	0	1	0	0	1	1	1	1	1
polC_7	0	1	0	0	1	1	1	1	1
polC_8	0	1	0	0	1	1	1	1	1
group_1830	0	1	0	0	1	1	1	1	1
rpsT	0	1	0	0	1	1	1	1	1
pyk	0	1	0	0	1	1	1	1	1
group_1833	0	1	0	0	1	1	1	1	1
group_1834	0	1	0	0	1	1	1	1	1
engB	0	1	0	0	1	1	1	1	1
ackA_1	0	1	0	0	1	1	1	1	1
ackA_2	0	1	0	0	1	1	1	1	1
pta	0	1	0	0	1	1	1	1	1
folD	0	1	0	0	1	1	1	1	1
valRS_1	0	1	0	0	1	1	1	1	1
valS	0	1	0	0	1	1	1	1	1
valRS_2	0	1	0	0	1	1	1	1	1
valRS_3	0	1	0	0	1	1	1	1	1
group_1844	0	1	0	0	1	1	1	1	1
group_1845	0	1	0	0	1	1	1	1	1
group_1846	0	1	0	0	1	1	1	1	1
group_1847	0	1	0	0	1	1	1	1	1
rmuC	0	1	0	0	1	1	1	1	1
group_1849	0	1	0	0	1	1	1	1	1
smpB	0	1	0	0	1	1	1	1	1
group_1851	0	1	0	0	1	1	1	1	1
gyrB2_1	0	1	0	0	1	1	1	1	1
group_1853	0	1	0	0	1	1	1	1	1
group_1854	0	1	0	0	1	1	1	1	1
group_1855	0	1	0	0	1	1	1	1	1
group_1856	0	1	0	0	1	1	1	1	1
group_1857	0	1	0	0	1	1	1	1	1
group_1858	0	1	0	0	1	1	1	1	1
group_1859	0	1	0	0	1	1	1	1	1
group_1860	0	1	0	0	1	1	1	1	1
group_1861	0	1	0	0	1	1	1	1	1
group_1862	0	1	0	0	1	1	1	1	1
dnaK_1	0	1	0	0	1	1	1	1	1
dnaK_2	0	1	0	0	1	1	1	1	1
fmt	0	1	0	0	1	1	1	1	1
wbkC	0	1	0	0	1	1	1	1	1
trmE	0	1	0	0	1	1	1	1	1
thdF	0	1	0	0	1	1	1	1	1
tatD_1	0	1	0	0	1	1	1	1	1
tatD_2	0	1	0	0	1	1	1	1	1
ErmX	0	1	0	0	1	1	1	1	1
ErmR	0	1	0	0	1	1	1	1	1
group_1873	0	1	0	0	1	1	1	1	1
gpsA_2	0	1	0	0	1	1	1	1	1
group_1875	0	1	0	0	1	1	1	1	1
group_1876	0	1	0	0	1	1	1	1	1
group_1877	0	1	0	0	1	1	1	1	1
group_1878	0	1	0	0	1	1	1	1	1
rnj	0	1	0	0	1	1	1	1	1
hprK_1	0	1	0	0	1	1	1	1	1
hprK_2	0	1	0	0	1	1	1	1	1
trxB_1	0	1	0	0	1	1	1	1	1
trxB_2	0	1	0	0	1	1	1	1	1
MCYN0846	0	1	0	0	1	1	1	1	1
rpmB	0	1	0	0	1	1	1	1	1
rpsP	0	1	0	0	1	1	1	1	1
MCYN0005	0	1	0	0	1	1	1	1	1
rplS	0	1	0	0	1	1	1	1	1
group_1889	0	1	0	0	1	1	1	1	1
group_1890	0	1	0	0	1	1	1	1	1
rluA	0	1	0	0	1	1	1	1	1
group_1892	0	1	0	0	1	1	1	1	1
group_1893	0	1	0	0	1	1	1	1	1
group_1894	0	1	0	0	1	1	1	1	1
group_1895	0	1	0	0	1	1	1	1	1
group_1896	0	1	0	0	1	1	1	1	1
group_1897	0	1	0	0	1	1	1	1	1
group_1898	0	1	0	0	1	1	1	1	1
group_1899	0	1	0	0	1	1	1	1	1
group_1900	0	1	0	0	1	1	1	1	1
gyrB1_1	0	1	0	0	1	1	1	1	1
parE_2	0	1	0	0	1	1	1	1	1
gyrB1_2	0	1	0	0	1	1	1	1	1
gyrA2_1	0	1	0	0	1	1	1	1	1
gyrA2_2	0	1	0	0	1	1	1	1	1
gyrA2_3	0	1	0	0	1	1	1	1	1
group_1907	0	1	0	0	1	1	1	1	1
pgsA	0	1	0	0	1	1	1	1	1
group_1909	0	1	0	0	1	1	1	1	1
deoB_1	0	1	0	0	1	1	1	1	1
deoB_2	0	1	0	0	1	1	1	1	1
deoB_3	0	1	0	0	1	1	1	1	1
group_1913	0	1	0	0	1	1	1	1	1
group_1914	0	1	0	0	1	1	1	1	1
group_1915	0	1	0	0	1	1	1	1	1
group_1916	0	1	0	0	1	1	1	1	1
group_1917	0	1	0	0	1	1	1	1	1
group_1918	0	1	0	0	1	1	1	1	1
group_1919	0	1	0	0	1	1	1	1	1
group_1920	0	1	0	0	1	1	1	1	1
plsX_1	0	1	0	0	1	1	1	1	1
plsX_2	0	1	0	0	1	1	1	1	1
rnc	0	1	0	0	1	1	1	1	1
gapA_1	0	1	0	0	1	1	1	1	1
gapA_2	0	1	0	0	1	1	1	1	1
group_1926	0	1	0	0	1	1	1	1	1
group_1928	0	1	0	0	1	1	1	1	1
group_1929	0	1	0	0	1	1	1	1	1
secD_1	0	1	0	0	1	1	1	1	1
secD_2	0	1	0	0	1	1	1	1	1
secDF	0	1	0	0	1	1	1	1	1
secD_3	0	1	0	0	1	1	1	1	1
ribF	0	1	0	0	1	1	1	1	1
group_1935	0	1	0	0	1	1	1	1	1
argS_1	0	1	0	0	1	1	1	1	1
argS_2	0	1	0	0	1	1	1	1	1
argS_3	0	1	0	0	1	1	1	1	1
group_1939	0	1	0	0	1	1	1	1	1
oppB3_2	0	1	0	0	1	1	1	1	1
group_1941	0	1	0	0	1	1	1	1	1
